Designator,Mid X,Mid Y,Rotation,Layer
D1,230.0,-145.0625,270.0,top
J1,218.5,-134.71,0.0,top
J2,218.25,-144.525,0.0,top
R1,224.0,-144.5875,270.0,top
RV1,229.23,-134.71,0.0,top
