Designator,Mid X,Mid Y,Rotation,Layer
BZ1,110.75,-43.2,270.0,top
D1,113.0625,-63.5,180.0,top
J1,100.18,-44.06,0.0,top
J2,100.25,-56.96,0.0,top
R1,106.8375,-63.5,180.0,top
U1,109.75,-56.73,90.0,top
