Designator,Mid X,Mid Y,Rotation,Layer
CONECTOR,74.25,-75.06,270.0,top
LED1,95.26975,-69.25,180.0,top
LED2,95.51975,-76.25,180.0,top
LED3,95.27,-83.25,180.0,top
R1,83.6625,-72.25,0.0,top
R2,83.6625,-76.25,0.0,top
R3,83.6625,-80.25,0.0,top
