Designator,Mid X,Mid Y,Rotation,Layer
D1,175.1875,-77.75,0.0,top
R1,166.9125,-77.75,0.0,top
R2,167.1625,-70.25,0.0,top
SW1,176.85,-70.25,0.0,top
U1,145.245,-82.775,0.0,top
